objectid,title,creator,publisher,date,description,label-writer,fair-name,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,purl,object_location,image_small,image_thumb,image_alt_text,object_transcript
test_11,Ferris Wheel at the Chicago World's Fair,The Waterman Co.,,1893,,,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Library of Congress Prints and Photographs Division,2006683489,Photograph,,,,,image,http://hdl.loc.gov/loc.pnp/cph.3a50979,/objects/2006683489.jpg,/objects/small/2006683489_sm.jpg,/objects/thumbs/2006683489_th.jpg,,
test_12,"The Great Exhibition of the Industry of all Nations , opened by her Majesty Queen Victoria",,John Tallis and Company,1851,"This view of the Great Exhibition of the Industry of All Nations, created by John Tallis, showcases a wide perspective of the 1851 Crystal Palace Exhibition in London, England. The 1851 Exhibition is quite significant as it marked the first of many World’s Fairs and Exhibitions of culture and industry in the nineteenth and twentieth centuries. The Crystal Palace itself, illustrated here, was meant to showcase England’s architectural and industrial prowess. At 563 x 138 metres (1848 x 454 feet), and composed mostly of cast iron and glass, the Crystal Palace was a modern marvel. The structure housed numerous exhibitions and was temporarily placed in Hyde Park for the five-month duration of the fair. The Crystal Palace structure was disassembled after the fair and relocated to Sydenham Hill (located in south London) where it hosted subsequent exhibitions until it was destroyed by a fire in 1936. Tallis’ view illustrates the front facade of the Crystal Palace, the surrounding park, and large crowds of people, demonstrating the popularity of the first World’s Fair. Framed with gold adornments and coat of arms, the decorations display the British Crown’s prowess and pride in the structure and the exhibitions contained within its glass walls.",Kate Upham,Crystal Palace (London 1851),,London,,,Osher Map Library Collection,59034,Map,,,,,iiif,https://oshermaps.org/map/59034.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-203521/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-203521/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_13,Exposition Universelle de Paris 1889,Artist not identified,Publisher not identified,1889,"As a celebration of the 100th anniversary of the French Revolution, the Exposition Universelle de Paris 1889 underscored industrial and economic independence within France. This detailed print, a chromolithograph, frames the exhibition’s fairgrounds with postcard views, banners, and the flags of numerous participating countries. The banners feature mottos in French, English, and Latin, including ""Pax"" [Peace], ""Agriculture,"" ""Industry,"" ""Travail"" [Work],  “Arts,” and “Sciences.” In total, there are thirteen postcard views along the poster’s border, each focusing on different buildings, exhibitions, or experiences within the Exposition Universelle. These postcards shine a light on France’s growing empire and colonies in North Africa and Indochina, including “L’Arabie,” “Colonies Francises Annam,” and “Colonies Francaises - Tonkin,” displaying the breadth of France’s colonial, imperialistic reach. Specially constructed for the Exposition, Gustave Eiffel’s Tower stands high above the fairgrounds. This Chromolithograph also highlights the multiple exhibit buildings that housed what fair organizers deemed “technological advancements.” In the foreground of the image, a small train shuttles attendees around the fairgrounds as smoke billows out of its chimney–an almost universal symbol of “progress.”",Fiona Charlson,"Exposition Universelle (Paris, 1889)",,Paris,,,Osher Map Library Collection,58014,Illustration,,,,,iiif,https://oshermaps.org/map/58014.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-136950/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-136950/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_14,Exposition de Universelle de 1900: plan d'ensemble rez-de-chaussee.,,Unknown,1900,,,"Exposition Universelle (Paris, 1900)",,Paris,,,Osher Map Library Collection,59031,Map,,,,,iiif,https://oshermaps.org/map/59031.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-203196/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-203196/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_15,Souvenir de Exposition 1900,,,1900,,,"Exposition Universelle (Paris, 1900)",,Paris,,,Morin Collection,45876,Souvenir Booklet,,,,,iiif,https://oshermaps.org/map/45876.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-106353/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-106353/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_16,Vue Panoramique de l'Exposition Universelle de 1900,Lucien Baylac,,1900,,,"Exposition Universelle (Paris, 1900)",,Paris,,,Library of Congress Prints and Photographs Division,2007681990,Print,,,,,image,https://www.loc.gov/pictures/item/2007681990/,/objects/2007681990.jpg,/objects/small/2007681990_sm.jpg,/objects/thumbs/2007681990_th.jpg,,
test_17,"Sights, scenes and wonders at the World's fair; official book of views of the Louisiana Purchase Exposition. Reproduced from Goerz lens photographs","Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Official Photographic Company,1904,,,"Louisiana Purchase Exposition (St. Louis, 1904)",,St. Louis,,,Monkhouse Collection,55297,Book,,,,,iiif,https://oshermaps.org/map/55297.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108402/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108402/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_18,"The Rhode Island building : Louisiana Purchase Exposition, St. Louis, 1904",,Rhode Island Louisiana Purchase Commission,1904,,,"Louisiana Purchase Exposition (St. Louis, 1904)",,St. Louis,,,Monkhouse Collection,54985,Pamphlet,,,,,iiif,https://oshermaps.org/map/54985.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108205/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108205/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_19,St. Louis World's Fair : Louisiana Purchase Exposition 1904,Ivory City Publishing Co.,Ivory City Publishing Co.,1904,,,"Louisiana Purchase Exposition (St. Louis, 1904)",,St. Louis,,,Osher Map Library Collection,58473,Map,,,,,iiif,https://oshermaps.org/map/58473.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-144190/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-144190/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_20,"Bird's-eye view of World's Fair grounds and Festival Hall, from the Buffalo Tower, St. Louis World's Fair",T.W. Ingersoll,,1904,,,"Louisiana Purchase Exposition (St. Louis, 1904)",,St. Louis,,,Library of Congress Prints and Photographs Division,2002707089,Photograph,,,,,image,https://www.loc.gov/pictures/item/2002707089/,/objects/2002707089.jpg,/objects/small/2002707089_sm.jpg,/objects/thumbs/2002707089_th.jpg,,
test_21,"Geronimo, the famous Apache chieftain, for many years a terror to the early settlers, Worlds Fair, St. Louis, 1904",William H. Rau,,1904,,,"Louisiana Purchase Exposition (St. Louis, 1904)",,St. Louis,,,Library of Congress Prints and Photographs Division,2013647691,Photograph,,,,,image,https://www.loc.gov/pictures/item/2013647691/,/objects/2013647691.jpg,/objects/small/2013647691_sm.jpg,/objects/thumbs/2013647691_th.jpg,,
test_22,"Largest locomotive in the world, weighs 239 tons, used in B.Y.O. Freight Service, Transportation Building, Worlds Fair, St. Louis, 1904.",William H. Rau,,1904,,,"Louisiana Purchase Exposition (St. Louis, 1904)",,St. Louis,,,Library of Congress Prints and Photographs Division,2023640537,Photograph,,,,,image,https://www.loc.gov/pictures/item/2023640537/,/objects/2023640537.jpg,/objects/small/2023640537_sm.jpg,/objects/thumbs/2023640537_th.jpg,,
test_23,"Souvenir of Pan-American exposition : Buffalo, May 1 to November 1, 1901",Robert Reid,Robert Reid,1901,"These souvenir booklets would have been purchased during the fair as keepsakes to take home. Pictured here is the West Pavilion of the 410 foot tall “Electric Tower,” lit by 40,000 electric lamps and featuring a fountain with water torrenting out of the center (sourced and redirected from Niagara Falls) and flanked by two statue groups by the sculptor George Gray Barnard  “Great Waters in the Days of the White Man” and “Great Waters in the Days of the Red Man.” The Niagara water then traveled through the hydro-electric generator that was able to power the electric lights for the entire Exposition. At the turn-of-the- century, one of the biggest motivations behind having world’s fairs was to show off new innovations and emerging, marvelous concepts to the general population. Even though the Electric Tower was a temporary building, for a guest to come to the fair and see electricity for perhaps the first time must have been a very memorable occasion. This lighting up of Buffalo during the fair was made possible by the exploitation of the Great Lakes and Niagara Falls, equating water with white progress over and above traditional Indigenous practices, with electricity spawning a continual spreading of ideas of “progress” and human interactions.",William Lakatos,"Pan-American Exposition (Buffalo, 1901)",,Buffalo,,,Monkhouse Collection,54906,Souvenir Booklet,,,,,iiif,https://oshermaps.org/map/54906.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104226/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104226/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
